Name,Model,Date of assembly,Price,Brand,KM Driven,Fuel Type,Body Type,Seat capicity,No. of prev owners,Transmission,city
2013 Used Honda City in Angul,City [2011-2014],2013,400000,Honda,137000,Petrol,Sedan,5,First Owner ,Manual,angul
2025 Used Kia Sonet in Angul,Sonet,2025,1000000,Kia,4046,Petrol,CompactSuv,5,First Owner ,Manual,angul
2018 Used Tata Tiago in Angul,Tiago [2016-2020],2018,400000,Tata,66000,Petrol,Hatchback,5,First Owner ,Automatic (AMT),angul
2020 Used Honda City in Angul,City 4th Generation,2020,1210000,Honda,12100,Petrol,Sedan,5,First Owner ,Automatic (CVT),angul
2022 Used Tata Punch in Angul,Punch,2022,690000,Tata,39000,Petrol,CompactSuv,5,First Owner ,Manual,angul
2012 Used Maruti Suzuki Alto in Angul,Alto K10 [2010-2014],2012,80000,Maruti Suzuki,75000,Petrol,Hatchback,5,Second Owner ,Manual,angul
2020 Used Honda City in Angul,City 4th Generation,2020,1200000,Honda,12000,Petrol,Sedan,5,First Owner ,Automatic (CVT),angul
2006 Used Maruti Suzuki Alto in Angul,Alto [2005-2010],2006,100000,Maruti Suzuki,110000,Petrol,Hatchback,5,Second Owner ,Manual,angul
2015 Used Mahindra Bolero in Angul,Bolero [2011-2020],2015,400000,Mahindra,112000,Diesel,SUV,7,Second Owner ,Manual,angul
2018 Used Tata Tiago in Angul,Tiago [2016-2020],2018,350000,Tata,35000,Petrol,Hatchback,5,First Owner ,Manual,angul
2019 Used Maruti Suzuki Alto 800 in Angul,Alto 800 [2016-2019],2019,250000,Maruti Suzuki,55000,Petrol,Hatchback,5,Second Owner ,Manual,angul
2017 Used Mahindra Scorpio in Angul,Scorpio [2014-2017],2017,800000,Mahindra,95000,Diesel,SUV,7,First Owner ,Manual,angul
2016 Used Mahindra Bolero in Angul,Bolero [2011-2020],2016,471120,Mahindra,112500,Diesel,SUV,7,Third Owner ,Manual,angul
